comparison,overall_fst,n1,n2
str_BGA~str_INC,0.5805,3,1
str_BGA~str_INK,0.4078,3,7
str_BGA~str_IPL,0.15,3,10
str_BGA~str_JCC,0.1324,3,15
str_BGA~str_LEE,0.1818,3,11
str_BGA~str_LIN,0.0923,3,13
str_BGA~str_LJK,0.0496,3,21
str_BGA~str_LNF,0.2243,3,12
str_BGA~str_LNG,0.207,3,5
str_BGA~str_LON,0.1099,3,15
str_BGA~str_LTA,0.0845,3,3
str_BGA~str_LWF,0.1985,3,9
str_BGA~str_MAC,0.1824,3,17
str_BGA~str_MAE,0.2082,3,5
str_BGA~str_MAR,0.0822,3,20
str_BGA~str_MAU,0.1194,3,4
str_BGA~str_MEI,0.1237,3,17
str_BGA~str_MHK,0.3121,3,24
str_BGA~str_MIL,0.3109,3,37
str_BGA~str_MOH,0.0276,3,10
str_BGA~str_MPH,0.3614,3,12
str_BGA~str_MRB,0.1275,3,5
str_BGA~str_MRV,0.3335,3,5
str_BGA~str_MSQ,0.1669,3,3
str_BGA~str_MUR,0.2465,3,14
str_BGA~str_NFB,0.268,3,7
str_BGA~str_NFC,0.3402,3,16
str_BGA~str_NFG,0.2215,3,7
str_BGA~str_OHR,0.5763,3,1
str_BGA~str_PEC,0.116,3,15
str_BGA~str_PKC,0.167,3,2
str_BGA~str_POI,0.1422,3,16
str_BGA~str_POL,0.1587,3,19
str_BGA~str_ROC,0.0728,3,22
str_BGA~str_SEC,0.2201,3,6
str_BGA~str_SHE,0.2515,3,3
str_BGA~str_SIL,0.2772,3,6
str_BGA~str_SLK,0.2335,3,20
str_BGA~str_SNO,0.2179,3,8
str_BGA~str_TCR,0.1036,3,23
str_BGA~str_TNY,0.1861,3,15
