pop,pcrit,Neb,Neb_lCI,Neb_uCI,He_Ne,He_lCIp,He_uCIp,LDNe,LDNe_lCIp,LDNe_uCIp,LDNe_lCIj,LDNe_uCIj,facet
CAR,0.02,0.7,0.6,0.8,6.3,4,16.3,23.7,21.5,26.1,14.8,40.6,watershed
CAR,0.01,0.7,0.6,0.8,8,5.1,20.3,29.6,27.3,32.2,17.7,56.3,watershed
EFH,0.05,3.2,1.5,5.6,3.1,2,7.5,Inf,Inf,Inf,7.7,Inf,watershed
EFH,0.02,3.2,1.5,5.6,5.5,3.5,14.7,Inf,Inf,Inf,20.5,Inf,watershed
EFH,0.01,3.2,1.5,5.6,5.5,3.5,14.7,Inf,Inf,Inf,20.5,Inf,watershed
LHU,0.05,1.3,1,1.6,8,4.5,46.6,Inf,59.3,Inf,3.3,Inf,watershed
LHU,0.02,1.3,1,1.6,15.1,8.4,99.6,181.3,65,Inf,7.5,Inf,watershed
LHU,0.01,1.3,1,1.6,15.1,8.4,99.6,181.3,65,Inf,7.5,Inf,watershed
LTR,0.05,1.9,1.3,2.6,8.3,4.7,47.5,Inf,Inf,Inf,Inf,Inf,watershed
LTR,0.02,1.9,1.3,2.6,8.3,4.7,47.5,Inf,Inf,Inf,Inf,Inf,watershed
LTR,0.01,1.9,1.3,2.6,8.3,4.7,47.5,Inf,Inf,Inf,Inf,Inf,watershed
MAG,0.05,0.7,0.6,0.8,7.9,4.6,31.6,37.1,31.7,44,21.1,83,watershed
MAG,0.02,0.7,0.6,0.8,15.4,7.5,Inf,46,40.5,52.8,25.4,116.9,watershed
MAG,0.01,0.7,0.6,0.8,20.5,10.2,Inf,41.7,38.1,45.8,24.2,92,watershed
MAR,0.05,0.8,0.7,1,13.9,5.7,Inf,24.8,22.7,27.1,17.6,35.6,watershed
MAR,0.02,0.8,0.7,1,18.5,7.3,Inf,31.1,28.9,33.4,21.8,45.4,watershed
MAR,0.01,0.8,0.7,1,26.1,9.8,Inf,44.7,41.9,47.8,29.5,72.9,watershed
MCD,0.05,0.8,0.7,0.8,6.4,4.2,14.6,0.8,0.7,0.8,0.1,7.3,watershed
MCD,0.02,0.8,0.7,0.8,12.2,7.9,27.9,1.5,1.4,1.5,1,2.1,watershed
MCD,0.01,0.8,0.7,0.8,12.2,7.9,27.9,1.5,1.4,1.5,1,2.1,watershed
NFH,0.05,0.7,0.6,0.7,5.3,3.8,8.8,37.5,28.2,53.6,11.4,Inf,watershed
NFH,0.02,0.7,0.6,0.7,9.2,6.5,16.5,21.7,19,25,7.3,Inf,watershed
NFH,0.01,0.7,0.6,0.7,13.5,9.3,25.1,12.2,11.4,13.2,5.8,30.5,watershed
